repo_id,total_actions,flagged,guard_before_sink,no_sink
repo_49edf10882,55,36,2,17
repo_aa9516c4d0,45,4,34,7
repo_2abe314e05,42,15,15,12
repo_cc635761bc,35,0,24,11
repo_fff6d4da26,29,0,22,7
repo_6e87023332,29,1,19,9
repo_2dcf4aa853,24,3,17,4
repo_59811e4cdd,18,2,8,8
repo_f612de02eb,15,0,10,5
repo_e28f945956,13,0,8,5
repo_4874d9a565,12,10,0,2
repo_e0cb57c9d8,11,0,11,0
repo_c6e2f45790,11,5,6,0
repo_ee04c61634,11,0,9,2
repo_6262ad236f,10,10,0,0
repo_d59abd71eb,10,9,0,1
repo_89a4f8806b,10,0,6,4
repo_ec30f1eafa,9,0,8,1
repo_bc780255c5,8,0,4,4
repo_db0f6c391e,7,0,5,2
repo_f051ceb9a3,7,0,7,0
repo_e4d73139e8,7,6,1,0
repo_4f60e5bc43,6,3,2,1
repo_445d84150e,6,0,2,4
repo_ccb0085b30,5,2,1,2
repo_b503bb0b4c,5,0,5,0
repo_3f361970a5,4,0,4,0
repo_315f276fa4,4,1,1,2
repo_4ac191a9fb,3,0,3,0
repo_d39de363f6,3,0,1,2
repo_7aaaef3769,3,2,0,1
repo_84c24921c8,3,0,1,2
repo_545d997c67,3,0,3,0
repo_6ced609c0a,3,0,1,2
repo_94e9e10889,3,0,3,0
repo_328b74a62c,2,0,2,0
repo_c7b9a037fc,2,0,1,1
repo_980477aa91,2,0,2,0
repo_9f91ec2e28,2,0,0,2
repo_8bd50ee2d3,2,0,0,2
repo_90d0c278de,2,0,0,2
repo_383254ce8b,2,0,2,0
repo_4bd62efabc,2,0,1,1
repo_7442ac9c74,2,0,0,2
repo_153cb09d21,1,0,0,1
repo_daea53df3f,1,0,1,0
repo_0a35e48af1,1,0,0,1
repo_4c21feaf8b,1,0,1,0
repo_f4417eeb2e,1,0,1,0
repo_521016f348,1,0,0,1
repo_962b400e67,1,0,1,0
repo_a66f51df27,1,1,0,0
repo_f5af6378ec,1,0,0,1
repo_83968569e4,1,0,0,1
repo_8ce939ee36,1,0,0,1
repo_bbcd08afce,1,1,0,0
